office_id,hitl_id,constituency,county,triage,status,proposed_lat,proposed_lng,final_lat,final_lng,method,confidence,pip_verified,cluster_peers,notes,applied
138,9c8be522-bf47-4b23-bb21-c0bbaccb18a8,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
139,077f6769-cac8-4fb0-bb73-6b4f72fc2b74,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
140,acbb9005-a12d-439e-a2ad-ffd29aed29b0,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
141,717afdf3-a748-4338-a6d8-bd2597097bba,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
142,e07b08a3-a464-40e6-bcfc-8ca7e9b66538,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
143,0926ce6b-47f3-4491-a39d-13f81eb6419e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
144,4af0b079-ddba-404b-9366-9f8de2b7e4b4,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
145,cca7421e-26b7-4c18-b045-60a7392133f8,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
146,d894c7db-d576-41c6-9124-a12035523c86,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
147,e21f89e6-753f-42dc-9a00-d41ccfaff298,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
148,2f447830-0227-4123-aa96-4c58be91fc52,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
149,54b982d6-d8e5-469a-b329-232430b329e1,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
150,06996920-0743-4731-b30c-49f4429d081b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
151,024c4e29-9307-4bba-b0d3-1d83e954f815,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
152,690bd946-4c2e-41f9-9e5d-a81f69b620ce,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
153,1e660c03-38e2-408c-8fd1-2845554e75a5,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
154,1a8ffb91-449c-4296-b430-51c7cf1145d4,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
155,f1d12b15-7ba5-4453-91be-3489f39883c9,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
156,32bd8719-1f7e-41ce-a241-fba67376dd43,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
157,2a951f68-e6ad-478c-ab57-7989f2d0cdcf,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
158,3684ca09-1727-4c22-a9e9-444e673fb672,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
159,04ad25f5-0183-4690-9497-a8c80eba17b1,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
160,fbe3449a-15e9-43f6-8f4d-8046ed214c49,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
161,b53fc628-3df1-4f99-88ea-c1df9ad8af36,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
162,0e53f365-085b-41f4-97da-0fc104b80e22,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
163,3d3f204b-12a0-4db8-8dd0-b9040fafad6f,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
164,8c249608-8031-4196-8a14-877ceedc9b6f,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
165,4abc4a27-3a7e-4569-941b-cdace2d1f2cc,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
166,49bdfa11-0743-4141-9549-5251d915900c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
167,eea92e38-b47e-49b9-8e41-cac183b1b86d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
168,1bf76c25-7d36-472d-bcfc-e8ce9654773b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
169,ffdcefe6-58fd-4032-938d-d1e99672ea08,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
170,966872d1-fdd2-4b66-8dae-d55b942768a4,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
171,bd6d46db-dddd-43c6-8d5e-f78450854258,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
172,235e9727-3c61-42f6-b9e2-fa616128f775,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
173,917c1a34-639d-4edf-a187-bc600f78b0e9,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
174,d4d2ef2b-c802-4ee9-8368-416dd9d88006,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
175,6b7874e1-bef5-4384-ae35-81d83ebce076,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
