county,constituency_name,constituency,office_location,clean_office_location,landmark,source,created_at
Siaya,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Ugenya Ukwala - Opposite Sub County Officers Posta - Ukwala 100 Metres,Ugenya Ukwala - Opposite Sub County Officers Posta - Ukwala 100 Metres,Ugunja Along Savana - Ambira Hospital Road Savana Hotel 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.304404
Siaya,,,Commissioners Office Compound,Commissioners Office Compound,Gem Nyangweso Market Centre - Adjacent Sawagongo High School 200 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.305614
Kisumu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Nyando Awasi DCC Compound,Nyando Awasi DCC Compound,Muhoroni Awasi Opposite Pawtenge Primary,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.306397
Kisumu,,,centre and CDF office blocks at Ojola,centre and CDF office blocks at Ojola,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.307069
Kisumu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Homabay County,Homabay County,Kasipul Within Karachuonyo South DCC Compound at Kosele,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.309396
Kisii,,,Karachuonyo Within Rachuonyo North DCC Complex at Kamodi,Karachuonyo Within Rachuonyo North DCC Complex at Kamodi,along Kendubay Oyugi Road,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.310703
Homa Bay,,,Ndhiwa Within Ndhiwa Sub County DCC Complex Along Ndhiwa,Ndhiwa Within Ndhiwa Sub County DCC Complex Along Ndhiwa,Suba North Inside Suba North Sub County Compound along Mbita -,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.311623
Migori,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Rongo Rongo Town DCC Office Rongo sub County Within DCC office compound,Rongo Rongo Town DCC Office Rongo sub County Within DCC office compound,Awendo Awendo Town NCPB Awendo Within NCPB Compound,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.311623
Migori,,,Uriri Uriri Town DCC officeUriri Sub County Within DCC Compound,Uriri Uriri Town DCC officeUriri Sub County Within DCC Compound,Nyatike Macalda Town County Government Office Macalda 50m from DCC office,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.313173
Kisii,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Bonchari Suneka Market Itierio Boys High School 40 Metres,Bonchari Suneka Market Itierio Boys High School 40 Metres,South Mugirango Nyamarambe DCC's Office 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.314729
Kisii,,,Kitutu Chache North Marani Centre Marani Sub-County Office 100 Metres,Kitutu Chache North Marani Centre Marani Sub-County Office 100 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.315287
Nyamira,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kitutu Masaba Manga DCC Compound Manga Cliff 200 Metres,Kitutu Masaba Manga DCC Compound Manga Cliff 200 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.316592
Nyamira,,,Borabu DCC Office Compound in Kijauri Town DCC Offfice 20 Metres,Borabu DCC Office Compound in Kijauri Town DCC Offfice 20 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.320208
Nairobi,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Westlands DC Compound Safaricom Centre 200 Metres,Westlands DC Compound Safaricom Centre 200 Metres,Dagoretti North Maliposa Appartments - Ngong Road Nakumatt Junction 4KMs,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.320760
