ward_name,constituency,latitude,longitude
Idakho East,Ikolomani,0.16720569504009,34.7619190818552
Idakho North,Ikolomani,0.227201802278271,34.6786733493759
Idakho Central,Ikolomani,0.190368941996577,34.6888471261043
Malaba Central,Teso North,0.628890193531637,34.2883086036847
Malaba North,Teso North,0.656727848334554,34.3192057996143
Malaba South,Teso North,0.607857889183948,34.3133956022414
Chakol North,Teso South,0.557838227411871,34.1849584837666
Amukura West,Teso South,0.592670414876605,34.2189267028003
Amukura East,Teso South,0.547372006742775,34.3002243619012
Mbitini,Kitui Rural,-1.55178116806991,38.0839166128873
Mbitini,Makueni,-1.55178116806991,38.0839166128873
KANJUIRI RANGE,OL KALOU,-0.300622322915252,36.2692099770325
Amukura Central,Teso South,0.527542901133015,34.2475145514527
Zombe/Mwitika,Kitui East,-1.44967452632958,38.2889399988808
Moyale Township,Moyale,3.52138976156955,39.0536369016817
Uran,Moyale,3.07680778589853,38.5892319194916
Obbu,Moyale,3.10021675740216,38.8189256056741
Maikona,North Horr,3.2213212253958,37.7247798066467
Wargadud,Tarbaj,3.08772101345223,40.8068639979524
WARGADUD,MANDERA SOUTH,3.08772101345223,40.8068639979524
Karare,Saku,2.24996598736668,37.8838256546333
Marsabit Central,Saku,2.4431093139543,37.9155186132993
Loiyangalani,Laisamis,2.89963546279672,36.7178054306154
Mayenje,Matayos,0.427114061966063,34.1050820082452
Marachi West,Butula,0.304515498934317,34.2088422266001
Mutithi,Mwea,-0.698593280223603,37.2801473857631
Kangai,Mwea,-0.61767397188402,37.298262411559
Thiba,Mwea,-0.678238729040239,37.3291066889411
Wamumu,Mwea,-0.737138777939795,37.3760272787945
Nyangati,Mwea,-0.592257641367188,37.348144926007
